Title,store,description,"sale commission","click url",destination,"link id","link type","coupon code","promotion type","promotion start date","promotion end date"
"15% OFF Category Coupon for Plus Size",Knowfashionstyle.com,"Women's Fashion, extra 15% OFF for all kinds of Plus Size.",11.00%,https://www.jdoqocy.com/click-100179843-14082277-1611631236000,https://www.knowfashionstyle.com/PLUS-SIZE-c36277.html,14082277,"Text Link",Plus,Coupon,"2020-06-28 00:16:00","2021-05-30 09:00:00"
"45% Off Hot Sale V Neck Plus Size Two Pieces",Knowfashionstyle.com,"<LINK>45% Off<</LINK> Hot Sale V Neck Plus Size Two Pieces",11.00%,https://www.dpbolvw.net/click-100179843-14486470-1616137278000,https://www.knowfashionstyle.com/Black-Fashion-Casual-Solid-Slit-V-Neck-Plus-Size-Two-Pieces-p1382753.html,14486470,Banner,Plus,Coupon,"2021-03-19 00:00:00","2021-06-30 01:00:00"
"15% OFF Coupon for Orders Over $150",Knowfashionstyle.com,"15% OFF Coupon Code SAVE15 for Orders Over $150+
at www.knowfashionstyle.com",11.00%,https://www.jdoqocy.com/click-100179843-14444055-1611633600000,https://www.knowfashionstyle.com/,14444055,"Text Link",Save15,Coupon,"2021-01-25 20:00:00","2021-05-30 09:00:00"
"12% OFF Category Coupon for Bottoms",Knowfashionstyle.com,"12% OFF Coupon for All kinds of Women Bottoms",11.00%,https://www.kqzyfj.com/click-100179843-14082290-1611631279000,https://www.knowfashionstyle.com/BOTTOMS-c9120.html,14082290,"Text Link",Bottom,Coupon,"2020-06-28 02:52:00","2021-05-30 09:00:00"
"12% OFF Category Coupon for Shoes",Knowfashionstyle.com,"12% OFF Coupon for All kinds of Women  Shoes.",11.00%,https://www.jdoqocy.com/click-100179843-14498396-1617355803000,https://www.knowfashionstyle.com/SHOES-c42442.html,14498396,"Text Link",Shoes,Coupon,"2021-04-02 02:30:00","2021-12-31 08:00:00"
"Easter Special Offer 45% Off Fashion Jeans",Knowfashionstyle.com,"Easter Special Offer <LINK>45% Off</LINK> Fashion Jeans",11.00%,https://www.dpbolvw.net/click-100179843-14493734-1616828408000,https://www.knowfashionstyle.com/Fashion-Casual-Stitching-Blue-Ripped-Jeans-p1173102.html,14493734,Banner,Eas15,Coupon,"2021-03-27 00:00:00","2021-04-30 01:00:00"
"5% OFF Coupon for Orders Over $50",Knowfashionstyle.com,"Get 5% OFF when orders over $50 for all kinds of products.",11.00%,https://www.tkqlhce.com/click-100179843-14082291-1611631310000,https://www.knowfashionstyle.com,14082291,"Text Link",SAVE5,Coupon,"2020-06-28 02:59:00","2021-05-30 09:00:00"
"LovelyWholesale Clearance - Buy $50+ Get 50% OFF",LovelyWholesale,"Buy $50+ Get 50% OFF",10.00%,https://www.anrdoezrs.net/click-100179843-14429474-1614289648000,https://www.lovelywholesale.com/LW%20Clearance%20-%20down%20to%20$3.99-vc-1485.html,14429474,Banner,SALE50,Coupon,"2021-01-05 19:10:00","2021-05-28 09:00:00"
"LovelyWholesale Clearance - Buy $50+ Get 50% OFF",LovelyWholesale,"Buy $50+ Get 50% OFF",10.00%,https://www.kqzyfj.com/click-100179843-14429475-1614289648000,https://www.lovelywholesale.com/LW%20Clearance%20-%20down%20to%20$3.99-vc-1485.html,14429475,Banner,SALE50,Coupon,"2021-01-05 19:10:00","2021-05-28 09:00:00"
"LovelyWholesale Clearance - Buy $50+ Get 50% OFF",LovelyWholesale,"Buy $50+ Get 50% OFF",10.00%,https://www.kqzyfj.com/click-100179843-14429472-1614289648000,https://www.lovelywholesale.com/LW%20Clearance%20-%20down%20to%20$3.99-vc-1485.html,14429472,Banner,SALE50,Coupon,"2021-01-05 19:10:00","2021-05-28 09:00:00"
"LovelyWholesale Clearance - Buy $50+ Get 50% OFF",LovelyWholesale,"Buy $50+ Get 50% OFF",10.00%,https://www.jdoqocy.com/click-100179843-14429470-1614289648000,https://www.lovelywholesale.com/LW%20Clearance%20-%20down%20to%20$3.99-vc-1485.html,14429470,Banner,SALE50,Coupon,"2021-01-05 19:10:00","2021-05-28 09:00:00"
"LovelyWholesale Clearance - Buy $50+ Get 50% OFF",LovelyWholesale,"Buy $50+ Get 50% OFF",10.00%,https://www.anrdoezrs.net/click-100179843-14429471-1614289648000,https://www.lovelywholesale.com/LW%20Clearance%20-%20down%20to%20$3.99-vc-1485.html,14429471,Banner,SALE50,Coupon,"2021-01-05 19:10:00","2021-05-28 09:00:00"
"LovelyWholesale Clearance - Buy $50+ Get 50% OFF",LovelyWholesale,"Buy $50+ Get 50% OFF",10.00%,https://www.kqzyfj.com/click-100179843-14429469-1614289648000,https://www.lovelywholesale.com/LW%20Clearance%20-%20down%20to%20$3.99-vc-1485.html,14429469,Banner,SALE50,Coupon,"2021-01-05 19:10:00","2021-05-28 09:00:00"
"Subscribe to Our Newsletters & Get 10% Off Your First Order!",Mahabis,"Subscribe to Our Newsletters & Get 10% Off Your First Order!",7.50%,https://www.anrdoezrs.net/click-100179843-13956822-1580148856000,https://www.mahabis.com/?&a=0,13956822,"Text Link",,Coupon,"2019-12-18 00:00:00","2024-12-31 00:00:00"
"Refer a Friend & You Both Receive a 10% Coupon!",Mahabis,"Refer a Friend & You Both Receive a 10% Coupon!",7.50%,https://www.anrdoezrs.net/click-100179843-13956818-1580148891000,https://mahabis.com/pages/refer-a-friend-us/?&a=0,13956818,"Text Link",,Coupon,"2020-01-27 10:11:00","2024-06-27 00:00:00"
"Recycle Your Old Mahabis & Get 15% Off Your Next Pair (UK Only)!",Mahabis,"Recycle Your Old Mahabis & Get 15% Off Your Next Pair (UK Only)!",7.50%,https://www.tkqlhce.com/click-100179843-13956824-1601924912000,https://mahabis.com/pages/recycle-your-old-mahabis/?&a=0,13956824,"Text Link",,Coupon,"2020-01-27 10:11:00","2024-06-27 00:00:00"
"5% off £150 spend","Maison Threads","5% off £150 spend",6.00%,https://www.jdoqocy.com/click-100179843-14487964-1616423075000,https://www.threadsmenswear.com/,14487964,"Text Link",MTHREADS5,Coupon,"2021-03-22 07:24:00","2021-06-27 16:00:00"
"15% off cosmetics with code 15NOTINO",Notino.co.uk,"15% off cosmetics with code 15NOTINO",4.00%,https://www.jdoqocy.com/click-100179843-14503621-1618089682000,https://www.notino.co.uk/,14503621,"Text Link",15NOTINO,Coupon,"2021-04-11 15:00:00","2021-04-18 14:59:00"
"15% off coupon code: Tenorshare WhatsApp Transfer",Tenorshare/PassFab,"The coupon code is lifetime valid.
",50.00%,https://www.anrdoezrs.net/click-100179843-13933562-1597744041000,https://www.tenorshare.com/products/icarefone.html,13933562,"Text Link",H89S-F5PA,Coupon,"2019-12-24 08:00:00","2100-12-26 01:03:00"
"15% off storewide discount",Tenorshare/PassFab,"This coupon code is available for all our language sites, en, jp, ar, pt, es, ru, it, fr.
",50.00%,https://www.dpbolvw.net/click-100179843-14029047-1597744538000,https://www.passfab.com,14029047,"Text Link",D59A3P,Coupon,"2020-04-15 20:00:00","2080-04-15 20:00:00"
"PassFab Product Key Recovery, 10% off",Tenorshare/PassFab,"This coupon code is available for all our language sites, en, jp, ar, pt, es, ru, it, fr.
",50.00%,https://www.anrdoezrs.net/click-100179843-14029032-1592933670000,https://www.passfab.com/products/product-key-recovery.html,14029032,"Text Link",D2P-8LZ,Coupon,"2020-04-15 19:30:00","2080-04-15 09:00:00"
"10% off iOS Password Manager",Tenorshare/PassFab,"10% off iOS Password Manager
",50.00%,https://www.dpbolvw.net/click-100179843-14029045-1592933670000,https://www.passfab.com/products/ios-password-manager.html,14029045,"Text Link",7E4C8F,Coupon,"2020-04-15 20:00:00","2080-04-15 20:00:00"
"5% off coupon code: Tenorshare TunesCare, iTunes repair",Tenorshare/PassFab,"The coupon code is lifetime valid.
",50.00%,https://www.anrdoezrs.net/click-100179843-13933572-1592933670000,https://www.tenorshare.com/products/tunescare.html,13933572,"Text Link",H68S-P2G4,Coupon,"2019-12-24 08:00:00","2100-12-25 08:00:00"
"10% off coupon code: Tenorshare UltData, Android data recovery",Tenorshare/PassFab,"The coupon code is lifetime valid.
",50.00%,https://www.jdoqocy.com/click-100179843-13933567-1597744199000,https://www.tenorshare.com/products/android-data-recovery.html,13933567,"Text Link",DF78-H3P6,Coupon,"2019-12-24 08:00:00","2100-12-25 08:00:00"
"15% off PassFab iPhone Screen PassCode Unlocker",Tenorshare/PassFab,"This coupon code is available for all our language sites, en, jp, ar, pt, es, ru, it, fr.
",50.00%,https://www.dpbolvw.net/click-100179843-14029043-1592933670000,https://www.passfab.com/products/iphone-unlocker.html,14029043,"Text Link",F7PT59,Coupon,"2020-04-15 19:30:00","2080-04-15 19:30:00"
"PassFab for PDF, 10% off",Tenorshare/PassFab,"This coupon code is available for all our language sites, en, jp, ar, pt, es, ru, it, fr.
",50.00%,https://www.tkqlhce.com/click-100179843-14029038-1592933670000,https://www.passfab.com/products/pdf-password-recovery.html,14029038,"Text Link",S8P-H7Q,Coupon,"2020-04-15 19:30:00","2080-04-15 19:30:00"
"PassFab for PPT, 10% off",Tenorshare/PassFab,"This coupon code is available for all our language sites, en, jp, ar, pt, es, ru, it, fr.
",50.00%,https://www.jdoqocy.com/click-100179843-14029036-1592933670000,https://www.passfab.com/products/powerpoint-password-recovery.html,14029036,"Text Link",7XC-S5H,Coupon,"2020-04-15 19:30:00","2080-04-15 19:30:00"
"Tenorshare iAnyGo， 10% off",Tenorshare/PassFab,"Change iPhone GPS location",50.00%,https://www.anrdoezrs.net/click-100179843-14305595-1598001283000,https://www.tenorshare.com/products/ianygo-change-gps-location-iphone.html,14305595,"Text Link",A3P2D,Coupon,"2020-08-18 02:00:00","2100-01-17 08:00:00"
"Tenorshare 4MeKey, 10% off",Tenorshare/PassFab,"Tenorshare 4MeKey, Remove iCloud Activation Lock",50.00%,https://www.anrdoezrs.net/click-100179843-14091070-1595814615000,https://www.tenorshare.com/products/4mekey-activation-unlocker.html,14091070,"Text Link",KJ8U6T3,Coupon,"2020-07-10 03:00:00","2120-10-09 09:00:00"
"10% off coupon code: Tenorshare All software",Tenorshare/PassFab,"The coupon code is lifetime valid.
",50.00%,https://www.kqzyfj.com/click-100179843-13933580-1592933670000,https://www.tenorshare.com/,13933580,"Text Link",DFT28A8,Coupon,"2019-12-23 08:00:00","2100-12-25 08:00:00"
"10% off coupon code: Tenorshare ReiBoot, Android system repair",Tenorshare/PassFab,"The coupon code is lifetime valid.
",50.00%,https://www.jdoqocy.com/click-100179843-13933568-1597744449000,https://www.tenorshare.com/products/reiboot-for-android.html,13933568,"Text Link",DF78-H3P6,Coupon,"2019-12-24 08:00:00","2100-12-25 08:00:00"
"10% off coupon code: Tenorshare ReiBoot, iOS system repair",Tenorshare/PassFab,"The coupon code is lifetime valid.
",50.00%,https://www.jdoqocy.com/click-100179843-13933565-1597743701000,https://www.tenorshare.com/products/reiboot.html,13933565,"Text Link",DF78-H3P6,Coupon,"2019-12-24 08:00:00","2100-12-26 01:05:00"
"10% off coupon code: Tenorshare iTransGo, phone to phone transfer",Tenorshare/PassFab,"The coupon code is lifetime valid.
",50.00%,https://www.anrdoezrs.net/click-100179843-13933571-1592933670000,https://www.tenorshare.com/products/phone-to-phone-transfer.html,13933571,"Text Link",DF78-H3P6,Coupon,"2019-12-24 08:00:00","2100-12-25 08:00:00"
"15% Off PassFab Android Unlocker",Tenorshare/PassFab,"This coupon code is available for all our language sites, en, jp, ar, pt, es, ru, it, fr.
",50.00%,https://www.tkqlhce.com/click-100179843-14029042-1592933670000,https://www.passfab.com/products/android-unlocker.html,14029042,"Text Link",X6F4T8,Coupon,"2020-04-15 19:30:00","2080-04-15 19:30:00"
"PassFab for Word, 10% off",Tenorshare/PassFab,"This coupon code is available for all our language sites, en, jp, ar, pt, es, ru, it, fr.
",50.00%,https://www.tkqlhce.com/click-100179843-14029035-1592933670000,https://www.passfab.com/products/word-password-recovery.html,14029035,"Text Link",S7P-FCW,Coupon,"2020-04-15 19:30:00","2080-04-15 19:30:00"
"PassFab for Excel, 10% off",Tenorshare/PassFab,"This coupon code is available for all our language sites, en, jp, ar, pt, es, ru, it, fr.
",50.00%,https://www.jdoqocy.com/click-100179843-14029034-1592933670000,https://www.passfab.com/products/excel-password-recovery.html,14029034,"Text Link",X6S-9PJ,Coupon,"2020-04-15 19:30:00","2080-04-15 19:30:00"
"PassFab ToolKit, 15% off",Tenorshare/PassFab,"This coupon code is available for all our language sites, en, jp, ar, pt, es, ru, it, fr.
",50.00%,https://www.tkqlhce.com/click-100179843-14029033-1592933670000,https://www.passfab.com/products/passfab-toolkit.html,14029033,"Text Link",QP5-8KX,Coupon,"2020-04-15 19:30:00","2080-04-15 19:30:00"
"10% off coupon code: Tenorshare 4uKey, iPhone passcode unlocker",Tenorshare/PassFab,"The coupon code is lifetime valid.
",50.00%,https://www.jdoqocy.com/click-100179843-13933566-1597742419000,https://www.tenorshare.com/products/4ukey-unlocker.html,13933566,"Text Link",DF78-H3P6,Coupon,"2019-12-24 08:00:00","2100-12-26 01:06:00"
"10% off coupon code: Tenorshare Windows Boot Genius",Tenorshare/PassFab,"The coupon code is lifetime valid.
",50.00%,https://www.anrdoezrs.net/click-100179843-13933569-1592933670000,https://www.tenorshare.com/products/windows-boot-genius.html,13933569,"Text Link",DF78-H3P6,Coupon,"2019-12-24 08:00:00","2100-12-25 08:00:00"
"15% off coupon code: Tenorshare iCareFone, iOS backup tool",Tenorshare/PassFab,"The coupon code is lifetime valid.
",50.00%,https://www.jdoqocy.com/click-100179843-13933561-1597744268000,https://www.tenorshare.com/products/icarefone.html,13933561,"Text Link",H89S-F5PA,Coupon,"2019-12-25 01:02:00","2100-12-26 01:02:00"
"PassFab for ZIP, 10% off",Tenorshare/PassFab,"This coupon code is available for all our language sites, en, jp, ar, pt, es, ru, it, fr.
",50.00%,https://www.dpbolvw.net/click-100179843-14029040-1592933670000,https://www.passfab.com/products/zip-password-recovery.html,14029040,"Text Link",3PA-8WZ,Coupon,"2020-04-15 19:30:00","2080-04-15 19:30:00"
"10% off iOS Password Manager",Tenorshare/PassFab,"This coupon code is available for all our language sites, en, jp, ar, pt, es, ru, it, fr.
",50.00%,https://www.jdoqocy.com/click-100179843-14029046-1592933670000,https://www.passfab.com/products/ios-password-manager.html,14029046,"Text Link",7E4C8F,Coupon,"2020-04-15 20:00:00","2080-04-15 20:00:00"
"PassFab for RAR, 10% off",Tenorshare/PassFab,"This coupon code is available for all our language sites, en, jp, ar, pt, es, ru, it, fr.
",50.00%,https://www.tkqlhce.com/click-100179843-14029039-1592933670000,https://www.passfab.com/products/rar-password-recovery.html,14029039,"Text Link",Z8M-ND9,Coupon,"2020-04-15 19:30:00","2080-04-15 19:30:00"
"PassFab for Office, 15% off",Tenorshare/PassFab,"This coupon code is available for all our language sites, en, jp, ar, pt, es, ru, it, fr.
",50.00%,https://www.dpbolvw.net/click-100179843-14029037-1592933670000,https://www.passfab.com/products/office-password-recovery.html,14029037,"Text Link",S4Q-AP2,Coupon,"2020-04-15 19:30:00","2080-04-15 19:30:00"
"15% off storewide discount",Tenorshare/PassFab,"15% off storewide discount
",50.00%,https://www.jdoqocy.com/click-100179843-14029041-1592933670000,https://www.passfab.com,14029041,"Text Link",D59A3P,Coupon,"2020-04-15 19:30:00","2080-04-15 19:30:00"
"PassFab 4WinKey, 10% off",Tenorshare/PassFab,"This coupon code is available for all our language sites, en, jp, ar, pt, es, ru, it, fr.
",50.00%,https://www.kqzyfj.com/click-100179843-14029029-1592933670000,https://www.passfab.com/products/windows-password-recovery.html,14029029,"Text Link",XDF-24F,Coupon,"2020-04-15 19:30:00","2080-04-15 09:00:00"
"15% off coupon code: Tenorshare iPhone Backup Unlocker ",Tenorshare/PassFab,"The coupon code is lifetime valid.
",50.00%,https://www.jdoqocy.com/click-100179843-13933563-1592933670000,https://www.tenorshare.com/products/iphone-backup-unlocker.html,13933563,"Text Link",H89S-F5PA,Coupon,"2019-12-24 08:00:00","2100-12-26 01:04:00"
"20% off coupon code: Tenorshare UltData Windows and Mac data recovery",Tenorshare/PassFab,"The coupon code is lifetime valid.
",50.00%,https://www.tkqlhce.com/click-100179843-13933564-1597744126000,https://www.tenorshare.com/products/any-data-recovery.html,13933564,"Text Link",F45H-P8AA,Coupon,"2019-12-24 08:00:00","2100-12-26 01:04:00"
"15% off coupon code: Tenorshare UltData, iPhone data recovery",Tenorshare/PassFab,"The coupon code is lifetime valid.",50.00%,https://www.jdoqocy.com/click-100179843-13933560-1597743014000,https://www.tenorshare.com/products/iphone-data-recovery.html,13933560,"Text Link",H89S-F5PA,Coupon,"2019-12-24 08:00:00","2100-12-26 00:59:00"
"10% off coupon code: Tenorshare 4uKey, Android screen unlocker",Tenorshare/PassFab,"The coupon code is lifetime valid.
",50.00%,https://www.anrdoezrs.net/click-100179843-13933570-1597742390000,https://www.tenorshare.com/products/android-password-reset-tool.html,13933570,"Text Link",DF78-H3P6,Coupon,"2019-12-24 08:00:00","2100-12-25 08:00:00"
"15% off PassFab iPhone Backup Unlocker",Tenorshare/PassFab,"This coupon code is available for all our language sites, en, jp, ar, pt, es, ru, it, fr.",50.00%,https://www.jdoqocy.com/click-100179843-14029044-1592933670000,https://www.passfab.com/products/iphone-backup-unlocker.html,14029044,"Text Link",T5D8EP,Coupon,"2020-04-15 19:30:00","2080-04-15 19:30:00"
"PassFab Wifi Key, 10% off",Tenorshare/PassFab,"This coupon code is available for all our language sites, en, jp, ar, pt, es, ru, it, fr.
",50.00%,https://www.jdoqocy.com/click-100179843-14029031-1592933670000,https://www.passfab.com/products/wifi-key.html,14029031,"Text Link",6HP-5G9,Coupon,"2020-04-15 19:30:00","2080-04-15 09:00:00"
"Happy Mother's Day! Get $5 Off Orders $60+ With Code MUM5!",Sobelia,"Happy Mother's Day! Get $5 Off Orders $60+ With Code MUM5!","1.00% - 3.00%",https://www.anrdoezrs.net/click-100179843-14043981-1588721769000,https://www.sobelia.com/us/,14043981,"Text Link",MUM5,Coupon,"2020-04-28 00:00:00","2050-04-28 00:00:00"
"Get the Perfect Mother's Day Gift! Get $5 Off Orders $60+ With Code MUM5!",Sobelia,"Get the Perfect Mother's Day Gift! Get $5 Off Orders $60+ With Code MUM5!","1.00% - 3.00%",https://www.tkqlhce.com/click-100179843-14043984-1588721833000,https://www.sobelia.com/us/,14043984,"Text Link",MUM5,Coupon,"2020-04-28 00:00:00","2050-04-28 00:00:00"
"Get the Perfect Mother's Day Gift! Get $10 Off Orders $100+ With Code MUM10!",Sobelia,"Get the Perfect Mother's Day Gift! Get $10 Off Orders $100+ With Code MUM10!","1.00% - 3.00%",https://www.tkqlhce.com/click-100179843-14043983-1588721818000,https://www.sobelia.com/us/,14043983,"Text Link",MUM10,Coupon,"2020-04-28 00:00:00","2050-04-28 00:00:00"
"Happy Mother's Day! Get $10 Off Orders $100+ With Code MUM10!",Sobelia,"Happy Mother's Day! Get $10 Off Orders $100+ With Code MUM10!","1.00% - 3.00%",https://www.dpbolvw.net/click-100179843-14043982-1588721795000,https://www.sobelia.com/us/,14043982,"Text Link",MUM10,Coupon,"2020-04-28 00:00:00","2050-04-28 00:00:00"
"Save 15% Everything V1 - 728 x 90",SuperJeweler,"15% Off Everything with Promo Code SJ15. Shop Now at SuperJeweler.com!","3.00% - 6.00%",https://www.jdoqocy.com/click-100179843-14087588-1610744403000,https://www.superjewelryc.om,14087588,Banner,SJ15,Coupon,"2020-07-06 12:00:00","2021-04-30 20:59:00"
"Get 15% off everything on the SuperJeweler site with code SJSUPER15",SuperJeweler,"Get 15% off everything on the SuperJeweler site with code SJSUPER15","3.00% - 6.00%",https://www.jdoqocy.com/click-100179843-14427101-1610744404000,https://www.superjeweler.com,14427101,"Text Link",SJSUPER15,Coupon,"2020-11-18 09:26:00","2025-12-31 23:59:00"
"Save 15% Everything V2 - 125 x 125",SuperJeweler,"15% Off Everything with Promo Code SJ15. Shop Now at SuperJeweler.com!","3.00% - 6.00%",https://www.tkqlhce.com/click-100179843-14087589-1610744403000,https://www.superjeweler.com,14087589,Banner,SJ15,Coupon,"2020-07-06 12:00:00","2021-04-30 20:59:00"
"Save 15% Everything V1 - 300 x 250",SuperJeweler,"15% Off Everything with Promo Code SJ15. Shop Now at SuperJeweler.com!","3.00% - 6.00%",https://www.jdoqocy.com/click-100179843-14087578-1610744403000,https://www.superjeweler.com,14087578,Banner,SJ15,Coupon,"2020-07-06 12:00:00","2021-04-30 20:59:00"
"Save 15% Everything V1 - 468 x 60",SuperJeweler,"15% Off Everything with Promo Code SJ15. Shop Now at SuperJeweler.com!","3.00% - 6.00%",https://www.dpbolvw.net/click-100179843-14087579-1610744403000,https://www.superjewelryc.om,14087579,Banner,SJ15,Coupon,"2020-07-06 12:00:00","2021-04-30 20:59:00"
"Save 15% Everything V2 - 468 x 60",SuperJeweler,"15% Off Everything with Promo Code SJ15. Shop Now at SuperJeweler.com!","3.00% - 6.00%",https://www.dpbolvw.net/click-100179843-14087591-1610744403000,https://www.superjewelryc.om,14087591,Banner,SJ15,Coupon,"2020-07-06 12:00:00","2021-04-30 20:59:00"
"Save 15% Everything V2 - 300 x 250",SuperJeweler,"15% Off Everything with Promo Code SJ15. Shop Now at SuperJeweler.com!","3.00% - 6.00%",https://www.kqzyfj.com/click-100179843-14087590-1610744403000,https://www.superjeweler.com,14087590,Banner,SJ15,Coupon,"2020-07-06 12:00:00","2021-04-30 20:59:00"
"Save 15% Everything V1 - 125 x 125",SuperJeweler,"15% Off Everything with Promo Code SJ15. Shop Now at SuperJeweler.com!","3.00% - 6.00%",https://www.tkqlhce.com/click-100179843-14087576-1610744403000,https://www.superjeweler.com,14087576,Banner,SJ15,Coupon,"2020-07-06 12:00:00","2021-04-30 20:59:00"
"Save 15% Everything V2 - 728 x 90",SuperJeweler,"15% Off Everything with Promo Code SJ15. Shop Now at SuperJeweler.com!","3.00% - 6.00%",https://www.tkqlhce.com/click-100179843-14087592-1610744403000,https://www.superjewelryc.om,14087592,Banner,SJ15,Coupon,"2020-07-06 12:00:00","2021-04-30 20:59:00"
"Earth Day Sale 30% OFF site wide",TheApolloBox.com,"Earth Day Sale 30% OFF site wide. Use code ONEEARTH at checkout. Valid on 04/22 one day only.","3.00% - 5.00%",https://www.tkqlhce.com/click-100179843-14498230-1617346426000,https://theapollobox.com/,14498230,"Text Link",ONEEARTH,Coupon,"2021-04-22 00:00:00","2021-04-22 23:59:00"
"Mother's Day Sale 25% OFF site wide",TheApolloBox.com,"Mother's Day Sale 25% OFF site wide. Use code LOVEMOM at checkout. Valid from 04/16 to 04/18.","3.00% - 5.00%",https://www.anrdoezrs.net/click-100179843-14498229-1617346096000,https://theapollobox.com/,14498229,"Text Link",LOVEMOM,Coupon,"2021-04-16 00:00:00","2021-04-18 23:59:00"
"Special April Discount: 15% off sitewide",TheApolloBox.com,"Special April Discount: 15% off sitewide. Use code APRFUN at checkout. Valid from 04/01 to 04/30.","3.00% - 5.00%",https://www.tkqlhce.com/click-100179843-14498227-1617345661000,https://theapollobox.com/,14498227,"Text Link",APRFUN,Coupon,"2021-04-01 23:40:00","2021-04-30 23:59:00"
"End of April Sale 25% OFF",TheApolloBox.com,"End of April Sale 25% OFF site wide. Use code ENDAPR at checkout. Valid from 04/30 to 05/02.","3.00% - 5.00%",https://www.tkqlhce.com/click-100179843-14498240-1617346576000,https://theapollobox.com/,14498240,"Text Link",ENDAPR,Coupon,"2021-04-30 00:00:00","2021-05-02 23:59:00"
"Zaful FR: 59€-20%",Zaful,"Zaful FR: 59€-20%
Code: FR20
Expire: 10/09/2021","8.00% - 16.00%",https://www.kqzyfj.com/click-100179843-14385563-1605771671000,https://fr.zaful.com/,14385563,"Text Link",FR20,Coupon,"2020-11-18 23:40:00","2021-10-08 09:00:00"
